step1,step2,step3,step4,total_duration,from_edge,to_edge
mesrop_mashtoc_1,mesrop_mashtoc_2,mesrop_mashtoc_3,mesrop_mashtoc_4,232,1318793176#1,379698350#0
mesrop_mashtoc_1,mesrop_mashtoc_2,mesrop_mashtoc_3,baghramyan_1,247,1318793176#1,1342054204
mesrop_mashtoc_1,mesrop_mashtoc_2,mesrop_mashtoc_3,sayat_nova_6-,251,1318793176#1,1235147073.116
mesrop_mashtoc_1,mesrop_mashtoc_2,moskovyan_2,moskovyan_3,238,1318793176#1,1341093415#0
mesrop_mashtoc_1,mesrop_mashtoc_2,moskovyan_2,teryan_4,256,1318793176#1,-422986370#2
mesrop_mashtoc_1,mesrop_mashtoc_2,moskovyan_2,teryan_3-,238,1318793176#1,138002006#0
mesrop_mashtoc_2,mesrop_mashtoc_3,sayat_nova_6-,sayat_nova_5-,220,1318793173#0,133126030#0
mesrop_mashtoc_2,mesrop_mashtoc_3,sayat_nova_6-,teryan_5,224,1318793173#0,-430406005#1
mesrop_mashtoc_2,mesrop_mashtoc_3,sayat_nova_6-,teryan_4-,256,1318793173#0,1369578054
mesrop_mashtoc_2,moskovyan_2,moskovyan_3,moskovyan_4,162,1318793173#0,1341093416#0
mesrop_mashtoc_2,moskovyan_2,moskovyan_3,abovyan_4,168,1318793173#0,791826085
mesrop_mashtoc_2,moskovyan_2,moskovyan_3,abovyan_3-,150,1318793173#0,409155823
mesrop_mashtoc_2,moskovyan_2,teryan_4,teryan_5,233,1318793173#0,-430406005#1
mesrop_mashtoc_2,moskovyan_2,teryan_4,sayat_nova_6,273,1318793173#0,137415945#0
mesrop_mashtoc_2,moskovyan_2,teryan_3-,isahakyan_3,169,1318793173#0,380351865#0
mesrop_mashtoc_2,moskovyan_2,teryan_3-,teryan_2-,171,1318793173#0,1369578052#0
mesrop_mashtoc_3,sayat_nova_6-,sayat_nova_5-,abovyan_5,232,291974733#0,134193294#0
mesrop_mashtoc_3,sayat_nova_6-,sayat_nova_5-,sayat_nova_4-,228,291974733#0,1328664748#0
mesrop_mashtoc_3,sayat_nova_6-,teryan_4-,moskovyan_3,288,291974733#0,1341093415#0
mesrop_mashtoc_3,sayat_nova_6-,teryan_4-,teryan_3-,275,291974733#0,138002006#0
