key;coordinate;edge_id
charents_1;40.171987, 44.527624;1253222187#0
charents_2;40.181767, 44.527795;683079388#0
charents_1-;40.171982, 44.527595;-809772643#1
charents_2-;40.181768, 44.527676;683079387#1
sayat_nova_1;40.178025, 44.525983;1310781056
sayat_nova_2;40.179382, 44.524270;714011134#0
sayat_nova_3;40.180960, 44.522260;134194079#0
sayat_nova_4;40.182868, 44.519888;1328664744#0
sayat_nova_5;40.184349, 44.518048;485211947#0
sayat_nova_6;40.186254, 44.516190;137415945#0
sayat_nova_1-;40.178011, 44.525969;809719540#0
sayat_nova_2-;40.179368, 44.524254;688883939#0
sayat_nova_3-;40.180937, 44.522245;177211987#1
sayat_nova_4-;40.182867, 44.519847;1328664748#0
sayat_nova_5-;40.184310, 44.517978;133126030#0
sayat_nova_6-;40.186154, 44.515960;1235147073.116
alek_manukyan_1;40.176271, 44.523694;31861355#0
alek_manukyan_2;40.181256, 44.525199;186410975#0
alek_manukyan_1-;40.176278, 44.523651;1254157399#1
nalbandyan_1;40.184905, 44.525263;186409193
nalbandyan_2;40.184037, 44.523909;189240001
nalbandyan_3;40.182886, 44.522092;1254519225#0.109
nalbandyan_4;40.181614, 44.520094;135474719#0
nalbandyan_1-;40.184856, 44.525305;1342963997
nalbandyan_2-;40.183998, 44.523930;1254519229#0
nalbandyan_3-;40.182836, 44.522158;1253188486#8
nalbandyan_4-;40.181587, 44.520109;1253188486#4
abovyan_1;40.190022, 44.526114;380344611#0
abovyan_2;40.187381, 44.523139;423956929
abovyan_3;40.186429, 44.521994;186407684#0
abovyan_4;40.184867, 44.520255;791826085
abovyan_5;40.183052, 44.518099;134193294#0
abovyan_1-;40.189885, 44.526342;136617981
abovyan_2-;40.187326, 44.523221;1091883842
abovyan_3-;40.186365, 44.522051;409155823
teryan_1;40.190899, 44.524041;1253209803#0
teryan_2;40.188684, 44.521430;-138002002#2
teryan_3;40.187615, 44.520150;-138002006#3
teryan_4;40.186218, 44.518562;-422986370#2
teryan_5;40.184407, 44.516387;-430406005#1
teryan_1-;40.190864, 44.524092;138002016#0
teryan_2-;40.188635, 44.521497;1369578052#0
teryan_3-;40.187552, 44.520237;138002006#0
teryan_4-;40.186187, 44.518603;1369578054
teryan_5-;40.184371, 44.516452;133126008#0
mesrop_mashtoc_1;40.189929, 44.518354;1318793176#1
mesrop_mashtoc_2;40.188669, 44.516825;1318793173#0
mesrop_mashtoc_3;40.187783, 44.515780;291974733#0
mesrop_mashtoc_4;40.186344, 44.514072;379698350#0
mesrop_mashtoc_1-;40.189802, 44.518477;1318893695#0
mesrop_mashtoc_2-;40.188614, 44.517033;133126040#0
mesrop_mashtoc_3-;40.187747, 44.516015;137406408#0
mesrop_mashtoc_4-;40.186265, 44.514210;133000078#0
isahakyan_1;40.185579, 44.523600;430416184
isahakyan_2;40.187391, 44.521553;186407685
isahakyan_3;40.188622, 44.519038;380351865#0
isahakyan_4;40.189406, 44.515479;133126031#0
moskovyan_1;40.188314, 44.515315;1252820503#0
moskovyan_2;40.187876, 44.517998;1254771874#0
moskovyan_3;40.186643, 44.520726;1341093415#0
moskovyan_4;40.184861, 44.522634;1341093416#0
moskovyan_1-;40.188352, 44.515318;189835257
koryun_1;40.187491, 44.524920;380585338#0
koryun_2;40.188882, 44.523205;380593307#0
koryun_3;40.190074, 44.520893;380585337#0
koryun_1-;40.187416, 44.524726;133000063
koryun_2-;40.188767, 44.523052;133342692#0
koryun_3-;40.189921, 44.520854;133131666#1
khanjyan_1;40.182768, 44.523719;189240000#0-AddedOnRampEdge
khanjyan_2;40.177147, 44.522398;49734468
khanjyan_1-;40.182691, 44.523675;799091563#0
khanjyan_2-;40.177141, 44.522200;138000492#0
heratsi_1;40.182255, 44.524271;138000461
heratsi_2;40.188616, 44.527676;380585336
heratsi_1-;40.182456, 44.524340;-138000461
heratsi_2-;40.188619, 44.527579;134133272
baghramyan_1;40.187973, 44.514661;1342054204
baghramyan_1-;40.187883, 44.514482;1252820505#0
