Origin,Destination,Distance_m,Duration_s
mesrop_mashtoc_1,isahakyan_4,291,67
mesrop_mashtoc_1,mesrop_mashtoc_2,193,48
mesrop_mashtoc_1,moskovyan_1-,342,85
mesrop_mashtoc_1,mesrop_mashtoc_3,325,82
mesrop_mashtoc_1,mesrop_mashtoc_4,543,134
mesrop_mashtoc_1,baghramyan_1,461,119
mesrop_mashtoc_1,mesrop_mashtoc_4,543,134
mesrop_mashtoc_1,mesrop_mashtoc_3-,809,264
mesrop_mashtoc_1,sayat_nova_6-,555,163
mesrop_mashtoc_1,moskovyan_2,401,92
mesrop_mashtoc_1,isahakyan_4,291,67
mesrop_mashtoc_1,mesrop_mashtoc_2,193,48
mesrop_mashtoc_1,moskovyan_1-,342,85
mesrop_mashtoc_1,mesrop_mashtoc_3,325,82
mesrop_mashtoc_1,mesrop_mashtoc_4,543,134
mesrop_mashtoc_1,baghramyan_1,461,119
mesrop_mashtoc_1,mesrop_mashtoc_4,543,134
mesrop_mashtoc_1,mesrop_mashtoc_3-,809,264
mesrop_mashtoc_1,sayat_nova_6-,555,163
mesrop_mashtoc_1,moskovyan_2,401,92
mesrop_mashtoc_2,isahakyan_4,258,97
mesrop_mashtoc_2,mesrop_mashtoc_2,0,0
mesrop_mashtoc_2,moskovyan_1-,149,38
mesrop_mashtoc_2,mesrop_mashtoc_3,133,34
mesrop_mashtoc_2,mesrop_mashtoc_4,350,86
mesrop_mashtoc_2,baghramyan_1,268,71
mesrop_mashtoc_2,mesrop_mashtoc_4,350,86
mesrop_mashtoc_2,mesrop_mashtoc_3-,616,216
mesrop_mashtoc_2,sayat_nova_6-,362,115
mesrop_mashtoc_2,moskovyan_2,208,45
mesrop_mashtoc_2,isahakyan_4,258,97
mesrop_mashtoc_2,mesrop_mashtoc_2,0,0
mesrop_mashtoc_2,moskovyan_1-,149,38
mesrop_mashtoc_2,mesrop_mashtoc_3,133,34
mesrop_mashtoc_2,mesrop_mashtoc_4,350,86
mesrop_mashtoc_2,baghramyan_1,268,71
mesrop_mashtoc_2,mesrop_mashtoc_4,350,86
mesrop_mashtoc_2,mesrop_mashtoc_3-,616,216
mesrop_mashtoc_2,sayat_nova_6-,362,115
mesrop_mashtoc_2,moskovyan_2,208,45
mesrop_mashtoc_3,isahakyan_4,682,179
mesrop_mashtoc_3,mesrop_mashtoc_2,1160,282
mesrop_mashtoc_3,moskovyan_1-,279,80
mesrop_mashtoc_3,mesrop_mashtoc_3,0,0
mesrop_mashtoc_3,mesrop_mashtoc_4,217,52
mesrop_mashtoc_3,baghramyan_1,136,37
mesrop_mashtoc_3,mesrop_mashtoc_4,217,52
mesrop_mashtoc_3,mesrop_mashtoc_3-,484,182
mesrop_mashtoc_3,sayat_nova_6-,229,81
mesrop_mashtoc_3,moskovyan_2,513,129
mesrop_mashtoc_3,isahakyan_4,682,179
mesrop_mashtoc_3,mesrop_mashtoc_2,1160,282
