Origin,Destination,Direction
mesrop_mashtoc_1,isahakyan_4,Right
mesrop_mashtoc_1,mesrop_mashtoc_2,Straight
mesrop_mashtoc_2,moskovyan_1-,Right
mesrop_mashtoc_2,mesrop_mashtoc_3,Straight
mesrop_mashtoc_3,mesrop_mashtoc_4,Straight
mesrop_mashtoc_3,baghramyan_1,Right
baghramyan_1-,mesrop_mashtoc_4,Right
mesrop_mashtoc_4-,mesrop_mashtoc_3-,Straight
mesrop_mashtoc_4-,sayat_nova_6-,Right
mesrop_mashtoc_2,moskovyan_2,Left
mesrop_mashtoc_3,sayat_nova_6-,Left
baghramyan_1-,sayat_nova_6-,Straight
baghramyan_1-,mesrop_mashtoc_3-,Left
mesrop_mashtoc_4-,baghramyan_1,Left
moskovyan_1,mesrop_mashtoc_3,Right
moskovyan_1,moskovyan_2,Straight
moskovyan_1,mesrop_mashtoc_2-,Left
mesrop_mashtoc_3-,mesrop_mashtoc_2-,Straight
mesrop_mashtoc_3-,moskovyan_2,Right
mesrop_mashtoc_2-,mesrop_mashtoc_1-,Straight
mesrop_mashtoc_2-,isahakyan_4,Left
mesrop_mashtoc_1-,koryun_3-,Straight
koryun_3,mesrop_mashtoc_1,Straight
sayat_nova_6,baghramyan_1,Straight
sayat_nova_6,mesrop_mashtoc_4,Left
sayat_nova_6,mesrop_mashtoc_3-,Right
moskovyan_2,moskovyan_3,Straight
moskovyan_2,teryan_4,Right
moskovyan_2,teryan_3-,Left
teryan_4,teryan_5,Straight
teryan_4,sayat_nova_6,Right
sayat_nova_6-,sayat_nova_5-,Straight
sayat_nova_6-,teryan_5,Right
sayat_nova_6-,teryan_4-,Left
teryan_5-,teryan_4-,Straight
teryan_5-,sayat_nova_5-,Right
sayat_nova_5,teryan_4-,Right
sayat_nova_5,sayat_nova_6,Straight
sayat_nova_5,teryan_5,Left
sayat_nova_5-,abovyan_5,Right
sayat_nova_5-,sayat_nova_4-,Straight
teryan_4-,moskovyan_3,Right
teryan_4-,teryan_3-,Straight
sayat_nova_4,sayat_nova_5-,Straight
sayat_nova_4,abovyan_5,Left
abovyan_4,abovyan_5,Straight
abovyan_4,sayat_nova_5,Right
abovyan_4,sayat_nova_4-,Left
isahakyan_3,mesrop_mashtoc_2,Left
isahakyan_3,isahakyan_4,Straight
isahakyan_3,mesrop_mashtoc_1-,Right
teryan_3,teryan_4,Straight
teryan_3,moskovyan_3,Left
teryan_3-,isahakyan_3,Left
teryan_3-,teryan_2-,Straight
moskovyan_3,moskovyan_4,Straight
moskovyan_3,abovyan_4,Right
moskovyan_3,abovyan_3-,Left
isahakyan_2,isahakyan_3,Straight
isahakyan_2,teryan_3,Left
isahakyan_2,teryan_2-,Right
abovyan_3,abovyan_4,Straight
abovyan_3,moskovyan_4,Left
abovyan_3-,abovyan_2-,Straight
koryun_3-,koryun_2-,Straight
koryun_3-,teryan_2,Right
koryun_3-,teryan_1-,Left
teryan_2,teryan_3,Straight
teryan_2,isahakyan_3,Right
teryan_1,teryan_2,Straight
teryan_1,koryun_3,Right
teryan_1,koryun_2-,Left
teryan_2-,teryan_1-,Straight
teryan_2-,koryun_2-,Right
koryun_2,koryun_3,Straight
koryun_2,teryan_1-,Right
koryun_2,teryan_2,Left
koryun_2-,koryun_1-,Straight
koryun_2-,abovyan_2,Right
koryun_2-,abovyan_1-,Left
abovyan_1,abovyan_2,Straight
abovyan_1,koryun_2,Right
abovyan_1,koryun_1-,Left
abovyan_2,abovyan_3,Straight
abovyan_2,isahakyan_2,Right
abovyan_2-,abovyan_1-,Straight
abovyan_2-,koryun_1-,Right
isahakyan_1,isahakyan_2,Straight
isahakyan_1,abovyan_2-,Right
isahakyan_1,abovyan_3,Left
koryun_1,koryun_2,Straight
koryun_1,abovyan_1-,Right
koryun_0-,charents_2-,Straight
koryun_0,koryun_1,Straight
koryun_0-,nalbandyan_1,Right
koryun_0-,heratsi_2,Left
koryun_1-,koryun_0-,Straight
moskovyan_4,khanjyan_1-,Straight
moskovyan_4,nalbandyan_3,Right
moskovyan_4,nalbandyan_2-,Left
sayat_nova_4-,nalbandyan_4,Right
sayat_nova_4-,sayat_nova_3-,Straight
sayat_nova_4-,nalbandyan_3-,Left
nalbandyan_1,nalbandyan_2-,Straight
nalbandyan_1,isahakyan_1,Right
nalbandyan_1-,heratsi_2,Straight
nalbandyan_1-,charents_2-,Right
nalbandyan_2,nalbandyan_3,Straight
nalbandyan_2,khanjyan_1-,Left
nalbandyan_2-,isahakyan_1,Left
nalbandyan_2-,nalbandyan_1-,Straight
nalbandyan_3,nalbandyan_4,Straight
nalbandyan_3,sayat_nova_4,Right
nalbandyan_3,sayat_nova_3-,Left
nalbandyan_3-,nalbandyan_2-,Straight
nalbandyan_3-,khanjyan_1-,Right
nalbandyan_4-,nalbandyan_3-,Straight
nalbandyan_4-,sayat_nova_3-,Right
nalbandyan_4-,sayat_nova_4,Left
sayat_nova_3-,sayat_nova_2-,Straight
sayat_nova_3-,khanjyan_2-,Right
sayat_nova_3,sayat_nova_4,Straight
sayat_nova_3,nalbandyan_3-,Right
khanjyan_1-,khanjyan_2-,Straight
khanjyan_1-,sayat_nova_3,Right
khanjyan_1-,sayat_nova_2-,Left
khanjyan_1,nalbandyan_2-,Right
khanjyan_1,nalbandyan_3,Left
