Origin,Destination,Direction,Distance_m,Duration_s
mesrop_mashtoc_1,isahakyan_4,Right,291.0,67.0
mesrop_mashtoc_1,mesrop_mashtoc_2,Straight,193.0,48.0
mesrop_mashtoc_2,moskovyan_1-,Right,149.0,38.0
mesrop_mashtoc_2,mesrop_mashtoc_3,Straight,133.0,34.0
mesrop_mashtoc_3,mesrop_mashtoc_4,Straight,217.0,52.0
mesrop_mashtoc_3,baghramyan_1,Right,136.0,37.0
baghramyan_1-,mesrop_mashtoc_4,Right,209.0,43.0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,Straight,226.0,61.0
mesrop_mashtoc_4-,sayat_nova_6-,Right,224.0,46.0
mesrop_mashtoc_2,moskovyan_2,Left,208.0,45.0
mesrop_mashtoc_3,sayat_nova_6-,Left,229.0,81.0
baghramyan_1-,sayat_nova_6-,Straight,230.0,55.0
baghramyan_1-,mesrop_mashtoc_3-,Left,213.0,64.0
mesrop_mashtoc_4-,baghramyan_1,Left,249.0,63.0
moskovyan_1,mesrop_mashtoc_3,Right,159.0,45.0
moskovyan_1,moskovyan_2,Straight,235.0,48.0
moskovyan_1,mesrop_mashtoc_2-,Left,166.0,38.0
mesrop_mashtoc_3-,mesrop_mashtoc_2-,Straight,130.0,36.0
mesrop_mashtoc_3-,moskovyan_2,Right,198.0,49.0
mesrop_mashtoc_2-,mesrop_mashtoc_1-,Straight,180.0,29.0
mesrop_mashtoc_2-,isahakyan_4,Left,237.0,61.0
mesrop_mashtoc_1-,koryun_3-,Straight,244.0,32.0
koryun_3,mesrop_mashtoc_1,Straight,249.0,32.0
sayat_nova_6,baghramyan_1,Straight,232.0,79.0
sayat_nova_6,mesrop_mashtoc_4,Left,298.0,81.0
sayat_nova_6,mesrop_mashtoc_3-,Right,197.0,75.0
moskovyan_2,moskovyan_3,Straight,272.0,52.0
moskovyan_2,teryan_4,Right,321.0,68.0
moskovyan_2,teryan_3-,Left,223.0,47.0
teryan_4,teryan_5,Straight,273.0,83.0
teryan_4,sayat_nova_6,Right,343.0,96.0
sayat_nova_6-,sayat_nova_5-,Straight,269.0,84.0
sayat_nova_6-,teryan_5,Right,259.0,84.0
sayat_nova_6-,teryan_4-,Left,345.0,97.0
teryan_5-,teryan_4-,Straight,272.0,80.0
teryan_5-,sayat_nova_5-,Right,196.0,73.0
sayat_nova_5,teryan_4-,Right,284.0,78.0
sayat_nova_5,sayat_nova_6,Straight,267.0,61.0
sayat_nova_5,teryan_5,Left,198.0,58.0
sayat_nova_5-,abovyan_5,Right,200.0,54.0
sayat_nova_5-,sayat_nova_4-,Straight,226.0,51.0
teryan_4-,moskovyan_3,Right,255.0,62.0
teryan_4-,teryan_3-,Straight,206.0,52.0
sayat_nova_4,sayat_nova_5-,Straight,228.0,73.0
sayat_nova_4,abovyan_5,Left,217.0,71.0
abovyan_4,abovyan_5,Straight,273.0,80.0
abovyan_4,sayat_nova_5,Right,283.0,89.0
abovyan_4,sayat_nova_4-,Left,298.0,85.0
isahakyan_3,mesrop_mashtoc_2,Left,215.0,57.0
isahakyan_3,isahakyan_4,Straight,314.0,79.0
isahakyan_3,mesrop_mashtoc_1-,Right,257.0,58.0
teryan_3,teryan_4,Straight,206.0,44.0
teryan_3,moskovyan_3,Left,156.0,38.0
teryan_3-,isahakyan_3,Left,208.0,50.0
teryan_3-,teryan_2-,Straight,157.0,39.0
moskovyan_3,moskovyan_4,Straight,258.0,46.0
moskovyan_3,abovyan_4,Right,272.0,54.0
moskovyan_3,abovyan_3-,Left,158.0,35.0
isahakyan_2,isahakyan_3,Straight,255.0,56.0
isahakyan_2,teryan_3,Left,152.0,43.0
isahakyan_2,teryan_2-,Right,204.0,58.0
abovyan_3,abovyan_4,Straight,228.0,47.0
abovyan_3,moskovyan_4,Left,213.0,40.0
abovyan_3-,abovyan_2-,Straight,146.0,35.0
koryun_3-,koryun_2-,Straight,227.0,56.0
koryun_3-,teryan_2,Right,233.0,73.0
koryun_3-,teryan_1-,Left,373.0,77.0
teryan_2,teryan_3,Straight,153.0,46.0
teryan_2,isahakyan_3,Right,256.0,67.0
teryan_1,teryan_2,Straight,332.0,76.0
teryan_1,koryun_3,Right,372.0,62.0
teryan_1,koryun_2-,Left,326.0,72.0
teryan_2-,teryan_1-,Straight,332.0,79.0
teryan_2-,koryun_2-,Right,186.0,65.0
koryun_2,koryun_3,Straight,238.0,60.0
koryun_2,teryan_1-,Right,316.0,81.0
koryun_2,teryan_2,Left,198.0,66.0
koryun_2-,koryun_1-,Straight,208.0,49.0
koryun_2-,abovyan_2,Right,218.0,52.0
koryun_2-,abovyan_1-,Left,398.0,70.0
abovyan_1,abovyan_2,Straight,389.0,62.0
abovyan_1,koryun_2,Right,369.0,65.0
abovyan_1,koryun_1-,Left,379.0,77.0
abovyan_2,abovyan_3,Straight,144.0,35.0
abovyan_2,isahakyan_2,Right,197.0,46.0
abovyan_2-,abovyan_1-,Straight,392.0,66.0
abovyan_2-,koryun_1-,Right,202.0,43.0
isahakyan_1,isahakyan_2,Straight,267.0,55.0
isahakyan_1,abovyan_2-,Right,258.0,53.0
isahakyan_1,abovyan_3,Left,741.0,173.0
koryun_1,koryun_2,Straight,213.0,65.0
koryun_1,abovyan_1-,Right,363.0,63.0
koryun_1-,charents_2-,Straight,689.0,95.0
koryun_1-,nalbandyan_1,Right,352.0,75.0
koryun_1-,heratsi_2,Left,958.0,131.0
moskovyan_4,khanjyan_1-,Straight,261.0,45.0
moskovyan_4,nalbandyan_3,Right,291.0,64.0
moskovyan_4,nalbandyan_2-,Left,199.0,40.0
sayat_nova_4-,nalbandyan_4,Right,209.0,71.0
sayat_nova_4-,sayat_nova_3-,Straight,296.0,73.0
sayat_nova_4-,nalbandyan_3-,Left,264.0,69.0
nalbandyan_1,nalbandyan_2-,Straight,152.0,35.0
nalbandyan_1,isahakyan_1,Right,253.0,54.0
nalbandyan_1-,heratsi_2,Straight,809.0,96.0
nalbandyan_1-,charents_2-,Right,540.0,61.0
nalbandyan_2,nalbandyan_3,Straight,200.0,46.0
nalbandyan_2,khanjyan_1-,Left,170.0,35.0
nalbandyan_2-,isahakyan_1,Left,210.0,46.0
nalbandyan_2-,nalbandyan_1-,Straight,151.0,25.0
nalbandyan_3,nalbandyan_4,Straight,221.0,86.0
nalbandyan_3,sayat_nova_4,Right,261.0,95.0
nalbandyan_3,sayat_nova_3-,Left,308.0,102.0
nalbandyan_3-,nalbandyan_2-,Straight,198.0,36.0
nalbandyan_3-,khanjyan_1-,Right,260.0,43.0
nalbandyan_4-,nalbandyan_3-,Straight,223.0,59.0
nalbandyan_4-,sayat_nova_3-,Right,255.0,70.0
nalbandyan_4-,sayat_nova_4,Left,208.0,62.0
sayat_nova_3-,sayat_nova_2-,Straight,244.0,66.0
sayat_nova_3-,khanjyan_2-,Right,495.0,96.0
sayat_nova_3,sayat_nova_4,Straight,293.0,78.0
sayat_nova_3,nalbandyan_3-,Right,308.0,79.0
khanjyan_1-,khanjyan_2-,Straight,646.0,114.0
khanjyan_1-,sayat_nova_3,Right,486.0,100.0
khanjyan_1-,sayat_nova_2-,Left,394.0,86.0
khanjyan_1,nalbandyan_2-,Right,161.0,42.0
khanjyan_1,nalbandyan_3,Left,253.0,63.0
heratsi_1,heratsi_2,Straight,837.0,68.0
heratsi_1-,khanjyan_2-,Straight,626.0,44.0
heratsi_1-,khanjyan_1,Right,102.0,23.0
heratsi_2-,koryun_1,Right,347.0,46.0
heratsi_2-,charents_2-,Left,853.0,97.0
heratsi_2-,heratsi_1-,Straight,810.0,60.0
sayat_nova_2,sayat_nova_3,Straight,245.0,64.0
sayat_nova_2,khanjyan_1,Right,402.0,87.0
sayat_nova_2,khanjyan_2-,Left,405.0,86.0
sayat_nova_2-,sayat_nova_1-,Straight,210.0,41.0
