Origin,Destination,Direction,distance,duration,from_edge,to_edge
mesrop_mashtoc_1,isahakyan_4,Right,291.0,67.0,1318793176#1,133126031#0
mesrop_mashtoc_1,mesrop_mashtoc_2,Straight,193.0,48.0,1318793176#1,1318793173#0
mesrop_mashtoc_2,moskovyan_1-,Right,149.0,38.0,1318793173#0,189835257
mesrop_mashtoc_2,mesrop_mashtoc_3,Straight,133.0,34.0,1318793173#0,291974733#0
mesrop_mashtoc_3,mesrop_mashtoc_4,Straight,217.0,52.0,291974733#0,379698350#0
mesrop_mashtoc_3,baghramyan_1,Right,136.0,37.0,291974733#0,1342054204
baghramyan_1-,mesrop_mashtoc_4,Right,209.0,43.0,1252820505#0,379698350#0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,Straight,226.0,61.0,133000078#0,137406408#0
mesrop_mashtoc_4-,sayat_nova_6-,Right,224.0,46.0,133000078#0,1235147073.116
mesrop_mashtoc_2,moskovyan_2,Left,208.0,45.0,1318793173#0,1254771874#0
mesrop_mashtoc_3,sayat_nova_6-,Left,229.0,81.0,291974733#0,1235147073.116
baghramyan_1-,sayat_nova_6-,Straight,230.0,55.0,1252820505#0,1235147073.116
baghramyan_1-,mesrop_mashtoc_3-,Left,213.0,64.0,1252820505#0,137406408#0
mesrop_mashtoc_4-,baghramyan_1,Left,249.0,63.0,133000078#0,1342054204
moskovyan_1,mesrop_mashtoc_3,Right,159.0,45.0,1252820503#0,291974733#0
moskovyan_1,moskovyan_2,Straight,235.0,48.0,1252820503#0,1254771874#0
moskovyan_1,mesrop_mashtoc_2-,Left,166.0,38.0,1252820503#0,133126040#0
mesrop_mashtoc_3-,mesrop_mashtoc_2-,Straight,130.0,36.0,137406408#0,133126040#0
mesrop_mashtoc_3-,moskovyan_2,Right,198.0,49.0,137406408#0,1254771874#0
mesrop_mashtoc_2-,mesrop_mashtoc_1-,Straight,180.0,29.0,133126040#0,1318893695#0
mesrop_mashtoc_2-,isahakyan_4,Left,237.0,61.0,133126040#0,133126031#0
mesrop_mashtoc_1-,koryun_3-,Straight,244.0,32.0,1318893695#0,133131666#1
koryun_3,mesrop_mashtoc_1,Straight,249.0,32.0,380585337#0,1318793176#1
sayat_nova_6,baghramyan_1,Straight,232.0,79.0,137415945#0,1342054204
