tls_id,phase_index,phase_state,phase_duration,min_duration,max_duration,controlled_lanes,controlled_links
632031937,0,GGGgrrrrrGGgg,40.0,7.0,50.0,-138002002#2_0 -138002002#2_0 -138002002#2_1 -138002002#2_1 186407685_0 186407685_0 186407685_1 186407685_2 186407685_2 138002006#0_0 138002006#0_1 138002006#0_1 138002006#0_1,"[[('-138002002#2_0', '1328467333_0', ':632031937_0_0')], [('-138002002#2_0', '-138002006#3_0', ':632031937_1_0')], [('-138002002#2_1', '-138002006#3_1', ':632031937_1_1')], [('-138002002#2_1', '1369578052#0_1', ':632031937_3_0')], [('186407685_0', '1369578052#0_0', ':632031937_4_0')], [('186407685_0', '1328467333_0', ':632031937_5_0')], [('186407685_1', '1328467333_1', ':632031937_5_1')], [('186407685_2', '1328467333_2', ':632031937_5_2')], [('186407685_2', '-138002006#3_1', ':632031937_8_0')], [('138002006#0_0', '1369578052#0_0', ':632031937_9_0')], [('138002006#0_1', '1369578052#0_1', ':632031937_9_1')], [('138002006#0_1', '1328467333_2', ':632031937_11_0')], [('138002006#0_1', '-138002006#3_1', ':632031937_12_0')]]"
632031937,1,yyyyrrrrryyyy,5.0,5.0,5.0,-138002002#2_0 -138002002#2_0 -138002002#2_1 -138002002#2_1 186407685_0 186407685_0 186407685_1 186407685_2 186407685_2 138002006#0_0 138002006#0_1 138002006#0_1 138002006#0_1,"[[('-138002002#2_0', '1328467333_0', ':632031937_0_0')], [('-138002002#2_0', '-138002006#3_0', ':632031937_1_0')], [('-138002002#2_1', '-138002006#3_1', ':632031937_1_1')], [('-138002002#2_1', '1369578052#0_1', ':632031937_3_0')], [('186407685_0', '1369578052#0_0', ':632031937_4_0')], [('186407685_0', '1328467333_0', ':632031937_5_0')], [('186407685_1', '1328467333_1', ':632031937_5_1')], [('186407685_2', '1328467333_2', ':632031937_5_2')], [('186407685_2', '-138002006#3_1', ':632031937_8_0')], [('138002006#0_0', '1369578052#0_0', ':632031937_9_0')], [('138002006#0_1', '1369578052#0_1', ':632031937_9_1')], [('138002006#0_1', '1328467333_2', ':632031937_11_0')], [('138002006#0_1', '-138002006#3_1', ':632031937_12_0')]]"
632031937,2,rrrrGGGGGrrrr,40.0,10.0,50.0,-138002002#2_0 -138002002#2_0 -138002002#2_1 -138002002#2_1 186407685_0 186407685_0 186407685_1 186407685_2 186407685_2 138002006#0_0 138002006#0_1 138002006#0_1 138002006#0_1,"[[('-138002002#2_0', '1328467333_0', ':632031937_0_0')], [('-138002002#2_0', '-138002006#3_0', ':632031937_1_0')], [('-138002002#2_1', '-138002006#3_1', ':632031937_1_1')], [('-138002002#2_1', '1369578052#0_1', ':632031937_3_0')], [('186407685_0', '1369578052#0_0', ':632031937_4_0')], [('186407685_0', '1328467333_0', ':632031937_5_0')], [('186407685_1', '1328467333_1', ':632031937_5_1')], [('186407685_2', '1328467333_2', ':632031937_5_2')], [('186407685_2', '-138002006#3_1', ':632031937_8_0')], [('138002006#0_0', '1369578052#0_0', ':632031937_9_0')], [('138002006#0_1', '1369578052#0_1', ':632031937_9_1')], [('138002006#0_1', '1328467333_2', ':632031937_11_0')], [('138002006#0_1', '-138002006#3_1', ':632031937_12_0')]]"
632031937,3,rrrryyyyyrrrr,5.0,5.0,5.0,-138002002#2_0 -138002002#2_0 -138002002#2_1 -138002002#2_1 186407685_0 186407685_0 186407685_1 186407685_2 186407685_2 138002006#0_0 138002006#0_1 138002006#0_1 138002006#0_1,"[[('-138002002#2_0', '1328467333_0', ':632031937_0_0')], [('-138002002#2_0', '-138002006#3_0', ':632031937_1_0')], [('-138002002#2_1', '-138002006#3_1', ':632031937_1_1')], [('-138002002#2_1', '1369578052#0_1', ':632031937_3_0')], [('186407685_0', '1369578052#0_0', ':632031937_4_0')], [('186407685_0', '1328467333_0', ':632031937_5_0')], [('186407685_1', '1328467333_1', ':632031937_5_1')], [('186407685_2', '1328467333_2', ':632031937_5_2')], [('186407685_2', '-138002006#3_1', ':632031937_8_0')], [('138002006#0_0', '1369578052#0_0', ':632031937_9_0')], [('138002006#0_1', '1369578052#0_1', ':632031937_9_1')], [('138002006#0_1', '1328467333_2', ':632031937_11_0')], [('138002006#0_1', '-138002006#3_1', ':632031937_12_0')]]"
GS_10852700972,0,GGGGGrrrrr,39.0,7.0,50.0,186407684#0_0 186407684#0_1 186407684#0_2 186407684#0_2 186407684#0_2 1341093415#0_0 1341093415#0_0 1341093415#0_1 1341093415#0_2 1341093415#0_3,"[[('186407684#0_0', '791826085_0', ':10852700972_0_0')], [('186407684#0_1', '791826085_1', ':10852700972_0_1')], [('186407684#0_2', '791826085_2', ':10852700972_0_2')], [('186407684#0_2', '1342963991_2', ':10852700972_3_0')], [('186407684#0_2', '1342963991_3', ':10852700972_3_1')], [('1341093415#0_0', '791826085_0', ':10852700972_5_0')], [('1341093415#0_0', '1342963991_0', ':10852700972_6_0')], [('1341093415#0_1', '1342963991_1', ':10852700972_6_1')], [('1341093415#0_2', '1342963991_2', ':10852700972_6_2')], [('1341093415#0_3', '1342963991_3', ':10852700972_6_3')]]"
GS_10852700972,1,yyyyyrrrrr,6.0,6.0,6.0,186407684#0_0 186407684#0_1 186407684#0_2 186407684#0_2 186407684#0_2 1341093415#0_0 1341093415#0_0 1341093415#0_1 1341093415#0_2 1341093415#0_3,"[[('186407684#0_0', '791826085_0', ':10852700972_0_0')], [('186407684#0_1', '791826085_1', ':10852700972_0_1')], [('186407684#0_2', '791826085_2', ':10852700972_0_2')], [('186407684#0_2', '1342963991_2', ':10852700972_3_0')], [('186407684#0_2', '1342963991_3', ':10852700972_3_1')], [('1341093415#0_0', '791826085_0', ':10852700972_5_0')], [('1341093415#0_0', '1342963991_0', ':10852700972_6_0')], [('1341093415#0_1', '1342963991_1', ':10852700972_6_1')], [('1341093415#0_2', '1342963991_2', ':10852700972_6_2')], [('1341093415#0_3', '1342963991_3', ':10852700972_6_3')]]"
GS_10852700972,2,rrrrrGGGGG,39.0,13.0,50.0,186407684#0_0 186407684#0_1 186407684#0_2 186407684#0_2 186407684#0_2 1341093415#0_0 1341093415#0_0 1341093415#0_1 1341093415#0_2 1341093415#0_3,"[[('186407684#0_0', '791826085_0', ':10852700972_0_0')], [('186407684#0_1', '791826085_1', ':10852700972_0_1')], [('186407684#0_2', '791826085_2', ':10852700972_0_2')], [('186407684#0_2', '1342963991_2', ':10852700972_3_0')], [('186407684#0_2', '1342963991_3', ':10852700972_3_1')], [('1341093415#0_0', '791826085_0', ':10852700972_5_0')], [('1341093415#0_0', '1342963991_0', ':10852700972_6_0')], [('1341093415#0_1', '1342963991_1', ':10852700972_6_1')], [('1341093415#0_2', '1342963991_2', ':10852700972_6_2')], [('1341093415#0_3', '1342963991_3', ':10852700972_6_3')]]"
GS_10852700972,3,rrrrryyyyy,6.0,6.0,6.0,186407684#0_0 186407684#0_1 186407684#0_2 186407684#0_2 186407684#0_2 1341093415#0_0 1341093415#0_0 1341093415#0_1 1341093415#0_2 1341093415#0_3,"[[('186407684#0_0', '791826085_0', ':10852700972_0_0')], [('186407684#0_1', '791826085_1', ':10852700972_0_1')], [('186407684#0_2', '791826085_2', ':10852700972_0_2')], [('186407684#0_2', '1342963991_2', ':10852700972_3_0')], [('186407684#0_2', '1342963991_3', ':10852700972_3_1')], [('1341093415#0_0', '791826085_0', ':10852700972_5_0')], [('1341093415#0_0', '1342963991_0', ':10852700972_6_0')], [('1341093415#0_1', '1342963991_1', ':10852700972_6_1')], [('1341093415#0_2', '1342963991_2', ':10852700972_6_2')], [('1341093415#0_3', '1342963991_3', ':10852700972_6_3')]]"
GS_11644940310,0,GGggGGGgrrrrrr,39.0,7.0,50.0,-138002006#3_0 -138002006#3_1 -138002006#3_1 -138002006#3_1 1369578054_0 1369578054_0 1369578054_1 1369578054_1 1254771874#0_0 1254771874#0_0 1254771874#0_1 1254771874#0_2 1254771874#0_3 1254771874#0_3,"[[('-138002006#3_0', '-422986370#2_0', ':11644940310_0_0')], [('-138002006#3_1', '-422986370#2_1', ':11644940310_0_1')], [('-138002006#3_1', '1341093415#0_3', ':11644940310_2_0')], [('-138002006#3_1', '138002006#0_1', ':11644940310_3_0')], [('1369578054_0', '1341093415#0_0', ':11644940310_4_0')], [('1369578054_0', '138002006#0_0', ':11644940310_5_0')], [('1369578054_1', '138002006#0_1', ':11644940310_5_1')], [('1369578054_1', '-422986370#2_1', ':11644940310_7_0')], [('1254771874#0_0', '-422986370#2_0', ':11644940310_8_0')], [('1254771874#0_0', '1341093415#0_0', ':11644940310_9_0')], [('1254771874#0_1', '1341093415#0_1', ':11644940310_9_1')], [('1254771874#0_2', '1341093415#0_2', ':11644940310_9_2')], [('1254771874#0_3', '1341093415#0_3', ':11644940310_9_3')], [('1254771874#0_3', '138002006#0_1', ':11644940310_13_0')]]"
GS_11644940310,1,yyyyyyyyrrrrrr,6.0,6.0,6.0,-138002006#3_0 -138002006#3_1 -138002006#3_1 -138002006#3_1 1369578054_0 1369578054_0 1369578054_1 1369578054_1 1254771874#0_0 1254771874#0_0 1254771874#0_1 1254771874#0_2 1254771874#0_3 1254771874#0_3,"[[('-138002006#3_0', '-422986370#2_0', ':11644940310_0_0')], [('-138002006#3_1', '-422986370#2_1', ':11644940310_0_1')], [('-138002006#3_1', '1341093415#0_3', ':11644940310_2_0')], [('-138002006#3_1', '138002006#0_1', ':11644940310_3_0')], [('1369578054_0', '1341093415#0_0', ':11644940310_4_0')], [('1369578054_0', '138002006#0_0', ':11644940310_5_0')], [('1369578054_1', '138002006#0_1', ':11644940310_5_1')], [('1369578054_1', '-422986370#2_1', ':11644940310_7_0')], [('1254771874#0_0', '-422986370#2_0', ':11644940310_8_0')], [('1254771874#0_0', '1341093415#0_0', ':11644940310_9_0')], [('1254771874#0_1', '1341093415#0_1', ':11644940310_9_1')], [('1254771874#0_2', '1341093415#0_2', ':11644940310_9_2')], [('1254771874#0_3', '1341093415#0_3', ':11644940310_9_3')], [('1254771874#0_3', '138002006#0_1', ':11644940310_13_0')]]"
