Origin,Destination,duration,from_edge,to_edge,distance
mesrop_mashtoc_1,isahakyan_4,67,1318793176#1,133126031#0,291
mesrop_mashtoc_1,mesrop_mashtoc_2,48,1318793176#1,1318793173#0,193
mesrop_mashtoc_2,moskovyan_1-,38,1318793173#0,189835257,149
mesrop_mashtoc_2,mesrop_mashtoc_3,34,1318793173#0,291974733#0,133
mesrop_mashtoc_3,mesrop_mashtoc_4,52,291974733#0,379698350#0,217
mesrop_mashtoc_3,baghramyan_1,37,291974733#0,1342054204,136
baghramyan_1-,mesrop_mashtoc_4,43,1252820505#0,379698350#0,209
mesrop_mashtoc_4-,mesrop_mashtoc_3-,61,133000078#0,137406408#0,226
mesrop_mashtoc_4-,sayat_nova_6-,46,133000078#0,1235147073.116,224
mesrop_mashtoc_2,moskovyan_2,45,1318793173#0,1254771874#0,208
mesrop_mashtoc_3,sayat_nova_6-,81,291974733#0,1235147073.116,229
baghramyan_1-,sayat_nova_6-,55,1252820505#0,1235147073.116,230
baghramyan_1-,mesrop_mashtoc_3-,64,1252820505#0,137406408#0,213
mesrop_mashtoc_4-,baghramyan_1,63,133000078#0,1342054204,249
moskovyan_1,mesrop_mashtoc_3,45,1252820503#0,291974733#0,159
moskovyan_1,moskovyan_2,48,1252820503#0,1254771874#0,235
moskovyan_1,mesrop_mashtoc_2-,38,1252820503#0,133126040#0,166
mesrop_mashtoc_3-,mesrop_mashtoc_2-,36,137406408#0,133126040#0,130
mesrop_mashtoc_3-,moskovyan_2,49,137406408#0,1254771874#0,198
mesrop_mashtoc_2-,mesrop_mashtoc_1-,29,133126040#0,1318893695#0,180
mesrop_mashtoc_2-,isahakyan_4,61,133126040#0,133126031#0,237
mesrop_mashtoc_1-,koryun_3-,32,1318893695#0,133131666#1,244
koryun_3,mesrop_mashtoc_1,32,380585337#0,1318793176#1,249
sayat_nova_6,baghramyan_1,79,137415945#0,1342054204,232
sayat_nova_6,mesrop_mashtoc_4,81,137415945#0,379698350#0,298
sayat_nova_6,mesrop_mashtoc_3-,75,137415945#0,137406408#0,197
