Origin,Destination,duration,from_edge,to_edge,distance
sayat_nova_6,baghramyan_1,67,137415945#0,1342054204,232
mesrop_mashtoc_3,mesrop_mashtoc_4,31,291974733#0,379698350#0,217
sayat_nova_6,mesrop_mashtoc_4,60,137415945#0,379698350#0,298
baghramyan_1-,mesrop_mashtoc_4,27,1252820505#0,379698350#0,209
baghramyan_1-,sayat_nova_6-,48,1252820505#0,1235147073.116,230
baghramyan_1-,mesrop_mashtoc_3-,47,1252820505#0,137406408#0,213
mesrop_mashtoc_4-,baghramyan_1,54,133000078#0,1342054204,249
mesrop_mashtoc_3,baghramyan_1,28,291974733#0,1342054204,136
mesrop_mashtoc_4-,sayat_nova_6-,34,133000078#0,1235147073.116,224
mesrop_mashtoc_4-,mesrop_mashtoc_3-,51,133000078#0,137406408#0,226
sayat_nova_6,mesrop_mashtoc_3-,59,137415945#0,137406408#0,197
